week_ending,sku,plant_inventory,warehouse_inventory
2025-08-10,SKU-A,404,461
2025-08-10,SKU-B,746,881
2025-08-10,SKU-C,396,1105
2025-08-17,SKU-A,647,641
2025-08-17,SKU-B,125,1112
2025-08-17,SKU-C,291,403
2025-08-24,SKU-A,653,1139
2025-08-24,SKU-B,707,801
2025-08-24,SKU-C,589,853
2025-08-31,SKU-A,613,750
2025-08-31,SKU-B,515,688
2025-08-31,SKU-C,386,649
2025-09-07,SKU-A,246,682
2025-09-07,SKU-B,351,501
2025-09-07,SKU-C,526,950
2025-09-14,SKU-A,637,417
2025-09-14,SKU-B,351,869
2025-09-14,SKU-C,352,659
2025-09-21,SKU-A,582,525
2025-09-21,SKU-B,515,459
2025-09-21,SKU-C,409,757
2025-09-28,SKU-A,261,779
2025-09-28,SKU-B,497,799
2025-09-28,SKU-C,533,945
